"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 08/13/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,274 Crashes containing 6,155 Units and 7,273 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2024-11-05 08:25 and 2025-02-04 22:57"
"County Is In DALLAS or TARRANT or ELLIS or KAUFMAN or ROCKWALL or DENTON or COLLIN or JOHNSON"
"First Harmful Event Is In ANIMAL or OTHER OBJECT or FIXED OBJECT"


"Crash ID","County","Crash Date","Crash Time","First Harmful Event","Highway Number","Latitude","Longitude","Manner of Collision","Street Name","Surface Condition"
"20484223","DALLAS","2024-11-05","0840","FIXED OBJECT","No Data","32.90884312","-96.83833336","ONE MOTOR VEHICLE - GOING STRAIGHT","MIDWAY RD","2 - WET"
"20485148","DALLAS","2024-11-05","1112","FIXED OBJECT","No Data","32.90551864","-96.57513593","ONE MOTOR VEHICLE - GOING STRAIGHT","MAIN ST","1 - DRY"
"20486006","DENTON","2024-11-05","1928","FIXED OBJECT","No Data","33.23317418","-97.12715246","ONE MOTOR VEHICLE - GOING STRAIGHT","N BELL AVE","1 - DRY"
"20486071","DALLAS","2024-11-05","0845","FIXED OBJECT","No Data","32.74481425","-96.59281262","ONE MOTOR VEHICLE - GOING STRAIGHT","E CARTWRIGHT RD","1 - DRY"
"20486072","DALLAS","2024-11-05","1106","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - GOING STRAIGHT","SAMUELL BLVD","2 - WET"
"20486080","DALLAS","2024-11-05","1622","FIXED OBJECT","0030","No Data","No Data","ONE MOTOR VEHICLE - TURNING RIGHT","IH0030","1 - DRY"
"20486340","TARRANT","2024-11-05","1724","FIXED OBJECT","No Data","32.89797726","-97.52386884","ONE MOTOR VEHICLE - GOING STRAIGHT","DUNAWAY LN","1 - DRY"
"20486861","JOHNSON","2024-11-05","1801","FIXED OBJECT","0035","32.55052036","-97.31830471","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035W","1 - DRY"
"20487060","DALLAS","2024-11-05","0835","FIXED OBJECT","No Data","32.81488241","-96.84097624","ONE MOTOR VEHICLE - GOING STRAIGHT","HARRY HINES BLVD","2 - WET"
"20487111","DENTON","2024-11-05","2105","FIXED OBJECT","No Data","33.00949027","-97.1878698","ONE MOTOR VEHICLE - GOING STRAIGHT","TROPHY CLUB DR","1 - DRY"
"20487447","ROCKWALL","2024-11-05","1130","FIXED OBJECT","No Data","32.97531471","-96.4379406","ONE MOTOR VEHICLE - GOING STRAIGHT","ANNA CADE RD","1 - DRY"
"20488333","TARRANT","2024-11-05","2152","FIXED OBJECT","No Data","32.83699084","-97.1453812","ONE MOTOR VEHICLE - GOING STRAIGHT","TX 121 EXPRESS TOLL","1 - DRY"
"20488852","TARRANT","2024-11-05","1714","FIXED OBJECT","0030","32.74504696","-97.32418515","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0030","1 - DRY"
"20489254","TARRANT","2024-11-05","1710","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - GOING STRAIGHT","SILVER CREEK AZLE RD","1 - DRY"
"20492030","COLLIN","2024-11-05","2044","FIXED OBJECT","0075","33.24629323","-96.62379988","ONE MOTOR VEHICLE - GOING STRAIGHT","US0075","1 - DRY"
"20494912","COLLIN","2024-11-05","1700","FIXED OBJECT","0121","33.08607679","-96.84108979","ONE MOTOR VEHICLE - GOING STRAIGHT","SH0121","1 - DRY"
"20497134","DALLAS","2024-11-05","0859","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - TURNING LEFT","GELENE CT","2 - WET"
"20497149","COLLIN","2024-11-05","2252","FIXED OBJECT","0289","33.21869973","-96.80225691","ONE MOTOR VEHICLE - TURNING RIGHT","SH0289","2 - WET"
"20498801","KAUFMAN","2024-11-05","1414","FIXED OBJECT","0020","32.71471815","-96.31174014","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0020","1 - DRY"
"20499131","ELLIS","2024-11-05","1613","FIXED OBJECT","1182","32.29768056","-96.47444189","ONE MOTOR VEHICLE - GOING STRAIGHT","FM1182","1 - DRY"
"20501858","DALLAS","2024-11-05","1248","FIXED OBJECT","No Data","32.71030003","-97.0245216","ONE MOTOR VEHICLE - GOING STRAIGHT","PRESIDENT GEORGE BUSH TPKE","1 - DRY"
"20501959","DALLAS","2024-11-05","0920","FIXED OBJECT","0020","32.67715265","-96.69304888","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0020","1 - DRY"
"20502845","DALLAS","2024-11-05","1510","FIXED OBJECT","0635","32.92593752","-96.81805631","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0635","1 - DRY"
"20515125","DALLAS","2024-11-05","1326","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - GOING STRAIGHT","CHRYSALIS DR","1 - DRY"
"20525879","DENTON","2024-11-05","1856","FIXED OBJECT","0377","33.19948615","-97.13769106","ONE MOTOR VEHICLE - TURNING RIGHT","US0377","1 - DRY"
"20487229","DALLAS","2024-11-06","1008","FIXED OBJECT","0012","32.68478102","-96.79561188","ONE MOTOR VEHICLE - GOING STRAIGHT","SL0012","1 - DRY"
"20487966","DALLAS","2024-11-06","2309","FIXED OBJECT","No Data","32.62301778","-96.85699256","ONE MOTOR VEHICLE - GOING STRAIGHT","N HAMPTON RD","1 - DRY"
"20488013","DALLAS","2024-11-06","0958","FIXED OBJECT","0080","32.78144826","-96.54060475","ONE MOTOR VEHICLE - GOING STRAIGHT","US0080","1 - DRY"
"20488423","COLLIN","2024-11-06","1941","FIXED OBJECT","No Data","33.15232418","-96.80474255","ONE MOTOR VEHICLE - GOING STRAIGHT","MAIN ST","1 - DRY"
"20488477","DENTON","2024-11-06","0757","OTHER OBJECT","No Data","33.12699204","-96.87129862","ONE MOTOR VEHICLE - GOING STRAIGHT","SOARING STAR LN","1 - DRY"
"20488766","TARRANT","2024-11-06","1742","FIXED OBJECT","No Data","32.87143717","-97.28401838","ONE MOTOR VEHICLE - GOING STRAIGHT","BASSWOOD BLVD","1 - DRY"
"20488805","TARRANT","2024-11-06","1340","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - GOING STRAIGHT","ENERGY WAY","1 - DRY"
"20488935","TARRANT","2024-11-06","0725","FIXED OBJECT","No Data","32.79975606","-97.41202188","ONE MOTOR VEHICLE - GOING STRAIGHT","ROBERTS CUT OFF RD","1 - DRY"
"20489274","TARRANT","2024-11-06","1520","FIXED OBJECT","0580","32.72475526","-97.48956911","ONE MOTOR VEHICLE - GOING STRAIGHT","SS0580","1 - DRY"
"20489893","TARRANT","2024-11-06","0911","FIXED OBJECT","No Data","32.6835643","-97.34855327","ONE MOTOR VEHICLE - GOING STRAIGHT","W BROADUS ST","1 - DRY"
"20490209","DALLAS","2024-11-06","1952","FIXED OBJECT","No Data","32.96438422","-96.86261254","ONE MOTOR VEHICLE - GOING STRAIGHT","S SURREY DR","1 - DRY"
"20491857","DALLAS","2024-11-06","0302","FIXED OBJECT","0635","32.90791681","-96.89842156","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0635","1 - DRY"
"20492029","COLLIN","2024-11-06","0401","FIXED OBJECT","No Data","33.20320782","-96.7155046","ONE MOTOR VEHICLE - GOING STRAIGHT","VIRGINIA PKWY","1 - DRY"
"20493111","COLLIN","2024-11-06","0535","FIXED OBJECT","No Data","33.23241416","-96.67958258","ONE MOTOR VEHICLE - GOING STRAIGHT","WILMETH RD","1 - DRY"
"20494078","DALLAS","2024-11-06","1015","OTHER OBJECT","0075","32.91774417","-96.76643896","ONE MOTOR VEHICLE - GOING STRAIGHT","US0075","1 - DRY"
"20494247","DALLAS","2024-11-06","0755","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - TURNING RIGHT","PRIVATE ALLEY","1 - DRY"
